report_date	ticker	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Issuance Of Capital Stock	Capital Expenditure	Interest Paid Supplemental Data	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	Asset Impairment Charge	Short Term Debt Issuance	Change In Income Tax Payable	Operating Gains Losses	Change In Tax Payable	Unrealized Gain Loss On Investment Securities	Effect Of Exchange Rate Changes	Depreciation	Gain Loss On Investment Securities
2025-09-30	AAPL	98767000000.0	-90711000000.0	-10932000000.0	4481000000.0		-12715000000.0		43369000000.0	35934000000.0	29943000000.0	5991000000.0	-120686000000.0	-120686000000.0	-6071000000.0	-15421000000.0	-15421000000.0	-90711000000.0	-90711000000.0		-8483000000.0	-2032000000.0	-6451000000.0	-10932000000.0	4481000000.0	15195000000.0	15195000000.0	-1480000000.0	29390000000.0	53797000000.0	-24407000000.0			-12715000000.0	-12715000000.0	111482000000.0	111482000000.0	-25000000000.0		-11076000000.0	-9197000000.0	902000000.0	902000000.0	902000000.0	1400000000.0	-7029000000.0	-6682000000.0	-89000000.0	12863000000.0			11698000000.0	11698000000.0	112010000000.0									
2024-09-30	AAPL	108807000000.0	-94949000000.0	-9958000000.0	0.0		-9447000000.0		26102000000.0	29943000000.0	30737000000.0	-794000000.0	-121983000000.0	-121983000000.0	-5802000000.0	-15234000000.0	-15234000000.0	-94949000000.0	-94949000000.0		-5998000000.0	3960000000.0	-9958000000.0	-9958000000.0	0.0	2935000000.0	2935000000.0	-1308000000.0	13690000000.0	62346000000.0	-48656000000.0			-9447000000.0	-9447000000.0	118254000000.0	118254000000.0	3651000000.0		15552000000.0	-11731000000.0	6020000000.0	6020000000.0	6020000000.0	-1046000000.0	-5144000000.0	-3788000000.0	-2266000000.0	11688000000.0			11445000000.0	11445000000.0	93736000000.0									
2023-09-30	AAPL	99584000000.0	-77550000000.0	-11151000000.0	5228000000.0		-10959000000.0	3803000000.0	18679000000.0	30737000000.0	24977000000.0	5760000000.0	-108488000000.0	-108488000000.0	-6012000000.0	-15025000000.0	-15025000000.0	-77550000000.0	-77550000000.0		-9901000000.0	-3978000000.0	-5923000000.0	-11151000000.0	5228000000.0	3705000000.0	3705000000.0	-1337000000.0	16001000000.0	45514000000.0	-29513000000.0			-10959000000.0	-10959000000.0	110543000000.0	110543000000.0	-6577000000.0		3031000000.0	-5684000000.0	-1889000000.0	-1889000000.0	-1889000000.0	-1618000000.0	-417000000.0	-1688000000.0	-2227000000.0	10833000000.0			11519000000.0	11519000000.0	96995000000.0									
2022-09-30	AAPL	111443000000.0	-89402000000.0	-9543000000.0	5465000000.0		-10708000000.0	2865000000.0	19573000000.0	24977000000.0	35929000000.0	-10952000000.0	-110749000000.0	-110749000000.0	-6383000000.0	-14841000000.0	-14841000000.0	-89402000000.0	-89402000000.0		-123000000.0	3955000000.0	-4078000000.0	-9543000000.0	5465000000.0	-22354000000.0	-22354000000.0	-2086000000.0	-9560000000.0	67363000000.0	-76923000000.0	-306000000.0	-306000000.0	-10708000000.0	-10708000000.0	122151000000.0	122151000000.0	1200000000.0	478000000.0	6110000000.0	-6499000000.0	9448000000.0	9448000000.0	9448000000.0	1484000000.0	-9343000000.0	-1823000000.0	1006000000.0	9038000000.0	895000000.0	895000000.0	11104000000.0	11104000000.0	99803000000.0									
2025-06-30	MSFT	71611000000.0	-18420000000.0	-3216000000.0	0.0	2056000000.0	-64551000000.0			30242000000.0	18315000000.0	11864000000.0	-51699000000.0	-51699000000.0	-2291000000.0	-24082000000.0	-24082000000.0	-16364000000.0	-18420000000.0	2056000000.0	-8962000000.0	-5746000000.0	-3216000000.0	-3216000000.0	0.0	-72599000000.0	-72599000000.0	2317000000.0	-4387000000.0	25388000000.0	-29775000000.0	-5978000000.0	-5978000000.0	-64551000000.0	-64551000000.0	136162000000.0	136162000000.0	-5350000000.0	5400000000.0	4947000000.0	-5994000000.0	569000000.0	569000000.0	569000000.0	309000000.0	-10581000000.0	-10581000000.0		11974000000.0	-7056000000.0	-7056000000.0	34153000000.0	34153000000.0	101832000000.0	943000000.0			202000000.0		-536000000.0	63000000.0	34153000000.0	202000000.0
2024-06-30	MSFT	74071000000.0	-17254000000.0	-29070000000.0	24395000000.0	2002000000.0	-44477000000.0			18315000000.0	34704000000.0	-16179000000.0	-37757000000.0	-37757000000.0	-1309000000.0	-21771000000.0	-21771000000.0	-15252000000.0	-17254000000.0	2002000000.0	575000000.0	5250000000.0	-4675000000.0	-29070000000.0	24395000000.0	-96970000000.0	-96970000000.0	-1298000000.0	17937000000.0	35669000000.0	-17732000000.0	-69132000000.0	-69132000000.0	-44477000000.0	-44477000000.0	118548000000.0	118548000000.0	1824000000.0	7035000000.0	5616000000.0	-8465000000.0	3545000000.0	3545000000.0	3545000000.0	1284000000.0	-7191000000.0	-7191000000.0		10734000000.0	-4738000000.0	-4738000000.0	22287000000.0	22287000000.0	88136000000.0	206000000.0	5250000000.0	1687000000.0	245000000.0	1687000000.0	-146000000.0	-210000000.0	22287000000.0	245000000.0
2023-06-30	MSFT	59475000000.0	-22245000000.0	-2750000000.0	0.0	1866000000.0	-28107000000.0			34704000000.0	13931000000.0	20967000000.0	-43935000000.0	-43935000000.0	-1006000000.0	-19800000000.0	-19800000000.0	-20379000000.0	-22245000000.0	1866000000.0	-2750000000.0	0.0	-2750000000.0	-2750000000.0	0.0	-22680000000.0	-22680000000.0	-3116000000.0	10213000000.0	47864000000.0	-37651000000.0	-1670000000.0	-1670000000.0	-28107000000.0	-28107000000.0	87582000000.0	87582000000.0	-2388000000.0	5177000000.0	2825000000.0	-4824000000.0	-2721000000.0	-2721000000.0	-2721000000.0	1242000000.0	-4087000000.0	-4087000000.0		9611000000.0	-6059000000.0	-6059000000.0	13861000000.0	13861000000.0	72361000000.0	30000000.0	0.0	-358000000.0	469000000.0	-358000000.0	-303000000.0	-194000000.0	13861000000.0	469000000.0
2022-06-30	MSFT	65149000000.0	-32696000000.0	-9023000000.0	0.0	1841000000.0	-23886000000.0			13931000000.0	14224000000.0	-152000000.0	-58876000000.0	-58876000000.0	-863000000.0	-18135000000.0	-18135000000.0	-30855000000.0	-32696000000.0	1841000000.0	-9023000000.0	0.0	-9023000000.0	-9023000000.0	0.0	-30311000000.0	-30311000000.0	-2825000000.0	18438000000.0	44894000000.0	-26456000000.0	-22038000000.0	-22038000000.0	-23886000000.0	-23886000000.0	89035000000.0	89035000000.0	446000000.0	5805000000.0	3169000000.0	-3514000000.0	2943000000.0	2943000000.0	2943000000.0	-1123000000.0	-6834000000.0	-6834000000.0		7502000000.0	-5702000000.0	-5702000000.0	14460000000.0	14460000000.0	72738000000.0	101000000.0	0.0	696000000.0	-1000000.0	696000000.0	-509000000.0	-141000000.0	14460000000.0	-1000000.0
